timestamp,vlun_svt_read,vlun_svt_write
1741478400000,0.4,1.4
1741485600000,0.4,1.4
1741492800000,0.4,1.4
1741500000000,0.4,1.4
1741507200000,0.4,1.4
1741514400000,0.4,1.4
1741521600000,0.4,1.4
1741528800000,0.4,1.4
1741536000000,0.4,1.4
1741543200000,0.4,1.4
1741550400000,0.4,1.4
1741557600000,0.4,1.4
1741564800000,0.4,1.4
1741572000000,0.4,1.4
1741579200000,0.4,1.4
1741586400000,0.4,1.3
1741593600000,0.4,1.3
1741600800000,0.4,1.3
1741608000000,0.4,1.3
1741615200000,0.4,1.3
1741622400000,0.4,1.3
1741629600000,0.4,1.3
1741636800000,0.4,1.3
1741644000000,0.4,1.3
1741651200000,0.4,1.3
1741658400000,0.4,1.3
1741665600000,0.4,1.3
1741672800000,0.4,1.3
1741680000000,0.4,1.3
1741687200000,0.4,1.3
1741694400000,0.4,1.4
1741701600000,0.4,1.5
1741708800000,0.4,1.5
1741716000000,0.4,1.5
1741723200000,0.4,1.5
1741730400000,0.4,1.5
1741737600000,0.4,1.5
1741744800000,0.4,1.5
1741752000000,0.4,1.5
1741759200000,0.4,1.5
1741766400000,0.4,1.5
1741773600000,0.4,1.5
1741780800000,0.4,1.6
1741788000000,0.3,1.6
1741795200000,0.3,1.6
1741802400000,0.3,1.7
1741809600000,0.3,2.2
1741816800000,0.3,2.2
1741824000000,0.3,2.4
1741831200000,0.3,2.4
1741838400000,0.3,2.5
1741845600000,0.3,2.5
1741852800000,0.3,2.6
1741860000000,0.3,2.8
1741867200000,0.3,2.8
1741874400000,0.3,2.8
1741881600000,0.3,2.8
1741888800000,0.3,2.9
1741896000000,0.3,3
1741903200000,0.3,3.1
1741910400000,0.3,3.1
1741917600000,0.3,3.1
1741924800000,0.3,3.2
1741932000000,0.3,3.3
1741939200000,0.3,3.3
1741946400000,0.3,3.3
1741953600000,0.3,3.3
1741960800000,0.2,3.3
1741968000000,0.2,3.3
1741975200000,0.2,3.1
1741982400000,0.2,2.7
1741989600000,0.2,2.6
1741996800000,0.2,2.5
1742004000000,0.2,2.5
1742011200000,0.2,2.3
1742018400000,0.2,2.3
1742025600000,0.2,2.2
1742032800000,0.2,2
1742040000000,0.2,2
1742047200000,0.3,1.9
1742054400000,0.3,1.9
1742061600000,0.3,1.8
1742068800000,0.3,1.7
1742076000000,0.3,1.6
1742083200000,0.3,1.5
1742090400000,0.3,1.5
1742097600000,0.3,1.4
1742104800000,0.3,1.3
1742112000000,0.3,1.3
1742119200000,0.3,1.2
1742126400000,0.3,1.2
1742133600000,0.3,1.2
1742140800000,0.3,1.2
1742148000000,0.3,1.2
1742155200000,0.3,1.2
1742162400000,0.3,1.2
1742169600000,0.3,1.2
1742176800000,0.3,1.2
1742184000000,0.3,1.2
1742191200000,0.3,1.2
1742198400000,0.3,1.2
1742205600000,0.3,1.2
